OBJECTID,County,FIPS,NCGS_url,ck_date,Shape__Area,Shape__Length,Worried,NotWorried,CarbonTax,NoCarbonTax,OffshoreDrilling,NoOffshoreDrilling
48,Cleveland,45,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13048810606,517276.4116,56.105,43.872,59.337,38.973,59.316,40.214
29,Columbus,47, ,2011/11/29 00:00:00+00,26624763070,968274.8799,59.234,40.687,62.155,35.825,54.862,44.486
38,Craven,49,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,21545383748,968408.4244,60.864,39.044,61.945,36.601,55.745,42.992
39,Cumberland,51,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,18352591643,717940.2762,67.457,32.548,70.767,27.475,53.069,46.548
87,Currituck,53,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,12397502174,656431.0321,54.157,45.788,56.068,42.535,59.058,40.808
55,Dare,55, ,2011/11/29 00:00:00+00,34291143995,947582.5121,60.171,39.933,61.044,37.598,51.39,48.722
63,Davidson,57, ,2011/11/29 00:00:00+00,15822136634,642637.9264,54.13,45.833,55.159,43.566,58.764,40.916
74,Davie,59,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,7430255745,480115.6584,53.765,46.194,57.464,41.147,61.284,38.573
34,Duplin,61,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,22861381735,673191.4071,60.759,39.115,63.569,34.758,57.925,41.287
11,Durham,63,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,8303366184,430700.4803,72.02,28.011,74.429,23.787,41.406,58.557
69,Edgecombe,65, ,2011/11/29 00:00:00+00,14129036626,592139.8676,67.235,32.722,72.457,25.438,53.055,45.841
81,Forsyth,67, ,2011/11/29 00:00:00+00,11494966379,490236.8581,63.9,36.176,67.175,31.308,54.644,45.06
8,Franklin,69,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13787249496,586071.0924,60.608,39.343,62.66,35.606,53.532,46.023
47,Gaston,71,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,10136315541,496634.4044,57.19,42.822,60.047,38.23,56.225,43.558
2,Gates,73, ,2011/11/29 00:00:00+00,9640705372,444604.3696,56.933,43.019,62.873,35.274,60.96,38.379
57,Graham,75, ,2011/11/29 00:00:00+00,8407157626,476642.8864,51.721,48.212,55.078,43.632,60.378,39.345
84,Granville,77,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,14988500014,573526.5358,60.629,39.391,64.384,33.856,54.625,44.8
20,Greene,79,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2016/11/30 00:00:00+00,7448298694,415266.6632,61.524,38.359,65.13,33.172,56.58,42.576
79,Guilford,81, ,2018/08/28 00:00:00+00,18482105016,546976.8157,70.504,29.451,72.394,25.818,48.654,51.604
83,Halifax,83, ,2011/11/29 00:00:00+00,20359795429,897018.4028,65.679,34.323,68.961,28.753,55.624,43.227
15,Harnett,85,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2019/04/30 00:00:00+00,16774317644,594483.5194,58.523,41.386,62.753,35.447,57.612,42.023
58,Haywood,87, ,2011/11/29 00:00:00+00,15455121986,669790.8724,58.71,41.384,56.069,42.138,57.425,42.216
52,Henderson,89,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,10457322038,599031.9456,58.025,42.1,58.115,40.755,55.566,44.303
97,Hertford,91, ,2011/11/29 00:00:00+00,10048456087,588862.0549,69.423,30.523,72.894,24.752,48.219,50.674
26,Hoke,93,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,10916060976,535987.4652,65.647,34.282,69.296,28.749,53.007,46.172
44,Hyde,95, ,2011/11/29 00:00:00+00,38949225636,1025891.102,63.691,36.194,64.283,33.693,50.17,48.952
3,Iredell,97,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,16670616924,639632.1414,58.226,41.737,60.668,37.661,58.49,41.471
42,Jackson,99,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13792706419,648549.225,64.165,35.744,63.535,34.805,49.144,50.892
27,Johnston,101, ,2011/11/29 00:00:00+00,22177432396,673516.1011,61.114,38.796,60.041,38.537,57.983,41.781
